Date,Open,High,Low,Close,Adj Close,Volume
2002-10-21,70.411087,72.562141,69.732315,72.227531,39.590633,11375982
2002-10-22,71.223709,72.351814,70.382408,71.214149,39.035168,10848589
2002-10-23,71.128105,71.673042,69.273422,71.319313,39.092789,13014227
2002-10-24,72.179733,72.227531,68.594643,68.929253,37.782711,11008104
2002-10-25,69.311661,71.338432,68.986618,71.281075,39.071865,7859853
2002-10-28,71.845123,74.091782,71.281075,73.193115,40.119888,13121965
2002-10-29,73.193115,73.661568,70.936905,73.365204,40.214230,11982139
2002-10-30,73.613770,75.908218,72.676865,75.210327,41.225609,13457627
2002-10-31,75.210327,76.281075,75.047798,75.468452,41.367100,10318058
2002-11-01,75.430206,76.959846,74.875717,76.864243,42.132195,9827379
2002-11-04,78.384323,80.124283,78.107079,78.871895,43.232639,12558276
2002-11-05,78.154877,78.403442,76.931168,78.087952,42.802952,10948168
2002-11-06,77.246651,78.279160,76.529640,77.954109,42.808201,10962917
2002-11-07,76.481834,76.481834,74.875717,75.478012,41.448460,11544493
2002-11-08,75.047798,75.803062,73.804970,74.177818,40.734478,8493102
2002-11-11,74.177818,74.913956,73.326958,73.891014,40.576977,7726174
2002-11-12,74.091782,76.386230,73.900574,75.669212,41.553459,9442974
2002-11-13,76.003822,76.797325,74.550667,75.860420,41.658466,12535996
2002-11-14,76.845123,77.428299,75.908218,77.170174,42.377689,10107289
2002-11-15,76.845123,76.864243,75.535370,76.491394,42.004948,11890719
2002-11-18,77.246651,77.428299,75.602295,75.697899,41.569202,7658080
2002-11-19,74.799232,75.956024,74.416824,74.923515,41.143963,7236646
2002-11-20,74.521988,78.116638,74.474190,78.021034,42.844959,9488161
2002-11-21,78.441681,81.185471,78.441681,81.166351,44.572201,13323111
2002-11-22,80.258125,81.424477,80.114723,80.717018,44.325451,9469752
2002-11-25,80.908218,82.456978,79.847038,82.409180,45.254681,9049155
2002-11-26,82.361374,82.361374,80.678780,81.319313,44.656181,8954597
2002-11-27,82.122368,84.235184,82.074570,83.843208,46.042187,8587451
2002-11-29,83.852776,84.177818,82.944550,83.097511,45.632675,3117812
2002-12-02,84.703636,85.525810,82.504784,83.460800,45.832161,10140133
2002-12-03,82.906311,83.202675,81.405357,81.462715,44.734943,7351079
2002-12-04,79.741875,81.128105,79.177818,80.009560,43.936943,10515961
2002-12-05,81.166351,81.242828,78.967499,79.407265,43.606197,7217400
2002-12-06,77.915871,79.110901,77.504784,78.699806,43.217701,7944161
2002-12-09,77.437859,77.753349,76.003822,76.089867,41.784462,9248627
2002-12-10,75.143402,77.437859,75.143402,77.246651,42.419689,7185811
2002-12-11,77.246651,78.852776,76.472275,77.858505,42.755684,6967406
2002-12-12,77.676865,78.097511,76.195030,76.644356,42.088959,7540300
2002-12-13,75.764816,76.481834,74.827919,76.481834,41.999695,8131395
2002-12-16,76.099426,78.193115,75.573616,78.030594,42.850208,8873741
2002-12-17,77.055450,78.173996,76.510513,76.778206,42.162437,6450787
2002-12-18,75.764816,76.185471,74.799232,75.650093,41.542950,6814585
2002-12-19,75.143402,76.806885,74.904396,75.200768,41.296211,7656615
2002-12-20,75.908218,76.481834,75.411087,76.281075,41.889454,8424275
2002-12-23,76.242828,77.915871,75.946465,76.730400,42.136204,6194621
2002-12-24,76.673042,77.437859,76.252388,76.252388,41.873707,2531529
2002-12-26,76.300194,77.151054,74.818359,75.047798,41.212215,6050378
2002-12-27,75.047798,75.697899,73.240921,73.957932,40.613731,6625469
2002-12-30,73.613770,74.024857,72.275337,72.896751,40.030975,8437664
2002-12-31,73.709366,75.009560,73.709366,74.091782,40.687206,8233484
2003-01-02,75.334610,77.026772,74.751434,77.026772,42.298950,8226267
2003-01-03,77.151054,78.059273,76.682602,78.059273,42.865936,6236566
2003-01-06,78.298279,81.070747,78.212234,79.913956,43.884441,8285680
2003-01-07,80.258125,82.390060,80.066925,82.217972,45.149689,12454617
2003-01-08,81.787766,81.921608,80.372849,80.487572,44.199444,9946205
2003-01-09,81.022942,83.193115,81.022942,83.173996,45.674671,11204334
2003-01-10,82.074570,84.168259,81.931168,83.824089,46.031670,10413348
2003-01-13,84.426384,85.038239,83.508606,83.661568,45.942440,10981954
2003-01-14,83.393883,84.694077,83.384323,84.684509,46.504162,7917279
2003-01-15,84.684509,84.751434,83.126198,83.738052,45.984428,8521344
2003-01-16,83.556404,83.852776,81.625237,82.265778,45.175941,10359898
2003-01-17,80.057358,80.057358,77.609940,77.724663,42.682209,18128435
2003-01-21,77.724663,78.250481,76.959846,76.998085,42.283176,9337537
2003-01-22,76.481834,77.217972,75.898659,76.195030,41.842205,9866290
